date,close
2023-04-13,82.16
2023-04-14,82.52
2023-04-17,80.83
2023-04-18,80.86
2023-04-19,79.16
2023-04-20,77.29
2023-04-21,77.87
2023-04-24,78.76
2023-04-25,77.07
2023-04-26,74.3
2023-04-27,74.76
2023-04-28,76.78
2023-05-01,75.66
2023-05-02,71.66
2023-05-03,68.6
2023-05-04,68.56
2023-05-05,71.34
2023-05-08,73.16
2023-05-09,73.71
2023-05-10,72.56
2023-05-11,70.87
2023-05-12,70.04
2023-05-15,71.11
2023-05-16,70.86
2023-05-17,72.83
2023-05-18,71.86
2023-05-19,71.55
2023-05-22,71.99
2023-05-23,72.91
2023-05-24,74.34
2023-05-25,71.83
2023-05-26,72.67
2023-05-30,69.46
2023-05-31,68.09
2023-06-01,70.1
2023-06-02,71.74
2023-06-05,72.15
2023-06-06,71.74
2023-06-07,72.53
2023-06-08,71.29
2023-06-09,70.17
2023-06-12,67.12
2023-06-13,69.42
2023-06-14,68.27
2023-06-15,70.62
2023-06-16,71.78
2023-06-20,70.5
2023-06-21,72.53
2023-06-22,69.51
2023-06-23,69.16
2023-06-26,69.37
2023-06-27,67.7
2023-06-28,69.56
2023-06-29,69.86
2023-06-30,70.64
2023-07-03,69.79
2023-07-05,71.79
2023-07-06,71.8
2023-07-07,73.86
2023-07-10,72.99
2023-07-11,74.83
2023-07-12,75.75
2023-07-13,76.89
2023-07-14,75.42
2023-07-17,74.15
2023-07-18,75.75
2023-07-19,75.35
2023-07-20,75.63
2023-07-21,77.07
2023-07-24,78.74
2023-07-25,79.63
2023-07-26,78.78
2023-07-27,80.09
2023-07-28,80.58
2023-07-31,81.8
2023-08-01,81.37
2023-08-02,79.49
2023-08-03,81.55
2023-08-04,82.82
2023-08-07,81.94
2023-08-08,82.92
2023-08-09,84.4
2023-08-10,82.82
2023-08-11,83.19
2023-08-14,82.51
2023-08-15,80.99
2023-08-16,79.38
2023-08-17,80.39
2023-08-18,81.25
2023-08-21,80.72
2023-08-22,80.35
2023-08-23,78.89
2023-08-24,79.05
2023-08-25,79.83
2023-08-28,80.1
2023-08-29,81.16
2023-08-30,81.63
2023-08-31,83.63
2023-09-01,85.55
2023-09-05,86.69
2023-09-06,87.54
2023-09-07,86.87
2023-09-08,87.51
2023-09-11,87.29
2023-09-12,88.84
2023-09-13,88.52
2023-09-14,90.16
2023-09-15,90.77
2023-09-18,91.48
2023-09-19,91.2
2023-09-20,90.28
2023-09-21,89.63
2023-09-22,90.03
2023-09-25,89.68
2023-09-26,90.39
2023-09-27,93.68
2023-09-28,91.71
2023-09-29,90.79
2023-10-02,88.82
2023-10-03,89.23
2023-10-04,84.22
2023-10-05,82.31
2023-10-06,82.79
2023-10-09,86.38
2023-10-10,85.97
2023-10-11,83.49
2023-10-12,82.91
2023-10-13,87.69
2023-10-16,86.66
2023-10-17,86.66
2023-10-18,88.32
2023-10-19,89.37
2023-10-20,88.75
2023-10-23,85.49
2023-10-24,83.74
2023-10-25,85.39
2023-10-26,83.21
2023-10-27,85.54
2023-10-30,82.31
2023-10-31,81.02
2023-11-01,80.44
2023-11-02,82.46
2023-11-03,80.51
2023-11-06,80.82
2023-11-07,77.37
2023-11-08,75.33
2023-11-09,75.74
2023-11-10,77.17
2023-11-13,78.26
2023-11-14,78.26
2023-11-15,76.66
2023-11-16,72.9
2023-11-17,75.89
2023-11-20,77.6
2023-11-21,77.77
2023-11-22,77.1
2023-11-24,75.54
2023-11-27,74.86
2023-11-28,76.41
2023-11-29,77.86
2023-11-30,75.96
2023-12-01,74.07
2023-12-04,73.04
2023-12-05,72.32
2023-12-06,69.38
2023-12-07,69.34
2023-12-08,71.23
2023-12-11,71.32
2023-12-12,68.61
2023-12-13,69.47
2023-12-14,71.58
2023-12-15,71.43
2023-12-18,72.47
2023-12-19,73.44
2023-12-20,74.22
2023-12-21,73.89
2023-12-22,73.56
2023-12-26,75.57
2023-12-27,74.11
2023-12-28,71.77
2023-12-29,71.65
2024-01-02,70.38
2024-01-03,72.7
2024-01-04,72.19
2024-01-05,73.81
2024-01-08,70.77
2024-01-09,72.24
2024-01-10,71.37
2024-01-11,72.02
2024-01-12,72.68
2024-01-16,72.4
2024-01-17,72.56
2024-01-18,74.08
2024-01-19,73.41
2024-01-22,75.19
2024-01-23,74.37
2024-01-24,75.09
2024-01-25,77.36
2024-01-26,78.01
2024-01-29,76.78
2024-01-30,77.82
2024-01-31,75.85
2024-02-01,73.82
2024-02-02,72.28
2024-02-05,72.78
2024-02-06,73.31
2024-02-07,73.86
2024-02-08,76.22
2024-02-09,76.84
2024-02-12,76.92
2024-02-13,77.87
2024-02-14,76.64
2024-02-15,78.03
2024-02-16,79.19
2024-02-20,78.18
2024-02-21,77.91
2024-02-22,78.61
2024-02-23,76.49
2024-02-26,77.58
2024-02-27,78.87
2024-02-28,78.54
2024-02-29,78.26
2024-03-01,79.97
2024-03-04,78.74
2024-03-05,78.15
2024-03-06,79.13
2024-03-07,78.93
2024-03-08,78.01
2024-03-11,77.93
2024-03-12,77.56
2024-03-13,79.72
2024-03-14,81.26
2024-03-15,81.04
2024-03-18,82.72
2024-03-19,83.47
2024-03-20,81.68
2024-03-21,81.07
2024-03-22,80.63
2024-03-25,81.95
2024-03-26,81.62
2024-03-27,81.35
2024-03-28,83.17
2024-04-01,83.71
2024-04-02,85.15
2024-04-03,85.43
2024-04-04,86.59
2024-04-05,86.91
